N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.8,82,6.5,202,rice
85,58,41,21.7,80,7.0,226,rice
60,55,44,23.0,78,6.8,210,rice
22,36,16,23.0,65,6.3,75,maize
25,40,18,24.5,60,6.5,80,maize
30,35,20,26.0,58,6.7,70,maize
40,20,20,27.0,60,6.2,100,cotton
45,25,22,28.0,62,6.0,110,cotton
50,30,25,29.0,64,6.3,115,cotton
20,20,15,18.0,70,6.5,150,wheat
25,22,18,19.0,72,6.8,140,wheat
30,25,20,20.0,75,6.4,130,wheat
80,40,40,22.0,85,6.6,210,rice
35,30,25,24.0,68,6.1,95,cotton
28,38,19,25.0,63,6.9,85,maize
24,21,16,17.0,74,6.7,145,wheat
70,50,45,23.5,83,6.4,215,rice
32,28,23,26.5,61,6.2,105,cotton
27,34,17,24.0,66,6.8,90,maize
26,24,19,18.5,73,6.6,138,wheat
