temperature,humidity,soil_type,crop_type,N,P,K,fertilizer_name
26,52,Sandy,Wheat,10,5,8,Urea
30,60,Loamy,Rice,15,10,12,DAP
28,55,Clayey,Cotton,8,6,7,NPK
25,50,Sandy,Maize,12,4,6,Urea
29,65,Loamy,Rice,18,12,14,DAP
27,58,Clayey,Cotton,9,7,8,NPK
24,48,Sandy,Wheat,11,5,7,Urea
31,62,Loamy,Rice,16,11,13,DAP
26,54,Clayey,Cotton,7,6,6,NPK
23,49,Sandy,Maize,13,4,5,Urea
30,63,Loamy,Rice,17,13,15,DAP
28,57,Clayey,Cotton,8,8,9,NPK
25,51,Sandy,Wheat,10,6,7,Urea
29,64,Loamy,Rice,19,12,16,DAP
27,56,Clayey,Cotton,9,7,10,NPK
24,47,Sandy,Maize,12,5,6,Urea
31,61,Loamy,Rice,18,14,15,DAP
26,53,Clayey,Cotton,7,6,8,NPK
23,46,Sandy,Wheat,11,4,6,Urea
30,60,Loamy,Rice,16,10,14,DAP
